WORK_ORD_NO,WORK_ORD_STATUS,WORK_ORD_STATUS,WORK_ORD_COMPLETION_DT,WORK_ORD_CLOSE_DT,JOB_EFFECTIVE_DT,ACT_NO,GRP_ID,STATUS_CD,EXECUTED_DT,LAST_UPDATE_ID,LAST_UPDATE_DT
XXH6773004,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:57:36
XXH6773004,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:57:38
XXH6773004,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:41
XXH6773005,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773005,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:00
XXH6773005,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:57:46
XXH6773005,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:57:48
XXH6773005,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:45
XXH6773006,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773006,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:34:59
XXH6773006,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:58:04
XXH6773006,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:58:08
XXH6773006,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:34
XXH6773007,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773007,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:00
XXH6773007,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:58:15
XXH6773007,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:58:19
XXH6773007,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:37
XXH6773008,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773008,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:09
XXH6773008,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:58:26
XXH6773008,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:58:29
XXH6773008,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:24
XXH6773009,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773009,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:10
XXH6773009,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:58:36
XXH6773009,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:58:39
XXH6773009,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:31
XXH6773010,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773010,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:09
XXH6773010,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:59:25
XXH6773010,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:59:29
XXH6773010,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:16
XXH6773011,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773011,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:10
XXH6773011,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:59:36
XXH6773011,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:59:39
XXH6773011,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:20
XXH6773012,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773012,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:19
XXH6773012,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 14:59:47
XXH6773012,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 14:59:49
XXH6773012,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:04
XXH6773013,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773013,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:20
XXH6773013,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:00:00
XXH6773013,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:00:04
XXH6773013,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:07
XXH6773014,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773014,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:20
XXH6773014,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:00:13
XXH6773014,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:00:15
XXH6773014,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:11
XXH6773015,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773015,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:20
XXH6773015,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:00:25
XXH6773015,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:00:30
XXH6773015,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:59
XXH6773016,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773016,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:30
XXH6773016,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:00:36
XXH6773016,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:00:40
XXH6773016,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:36:02
XXH6773017,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773017,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:30
XXH6773017,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:00:46
XXH6773017,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:00:50
XXH6773017,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:52
XXH6773018,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773018,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:30
XXH6773018,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:00:58
XXH6773018,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:01:00
XXH6773018,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:55
XXH6773019,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773019,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:30
XXH6773019,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:01:08
XXH6773019,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:01:11
XXH6773019,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:46
XXH6773020,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773020,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:30
XXH6773020,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:01:19
XXH6773020,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:01:21
XXH6773020,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:49
XXH6773021,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773021,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:40
XXH6773021,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:01:28
XXH6773021,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:01:31
XXH6773021,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:40
XXH6773022,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773022,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:40
XXH6773022,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:01:39
XXH6773022,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:01:41
XXH6773022,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:43
XXH6773023,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773023,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:40
XXH6773023,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:02:07
XXH6773023,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:02:11
XXH6773023,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:34
XXH6773024,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773024,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:40
XXH6773024,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:02:18
XXH6773024,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:02:21
XXH6773024,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:37
XXH6773025,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-01-31 09:03:14
XXH6773025,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-01-29 15:35:50
XXH6773025,2,Submitted,,,,2,BMS,COM,,mavischen,2020-08-14 15:02:31
XXH6773025,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-08-14 15:02:36
XXH6773025,2,Submitted,,,,4,JOBREVIEW,COM,,norhamimi,2020-01-30 08:35:31
XXK4818001,2,Submitted,,,,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-02-04 10:56:21
XXK4818001,2,Submitted,,,,1,HOLD_FTTH,COM,,OMHOLD101R,2020-04-16 12:30:08
XXK4818001,2,Submitted,,,,2,MPP2,COM,,abrahim,2020-04-19 15:54:36
XXK4818001,2,Submitted,,,,3,PWCE,COM,,grpa021,2020-05-11 17:33:43
XXK4818001,2,Submitted,,,,4,GSDT82,DLY,,OM_JOB_SERVER,2022-12-24 04:57:04
XXK4818001,2,Submitted,,,,5,IPVM1,NRD,,OM_JOB_SERVER,2022-12-24 04:57:04
XXK4818001,2,Submitted,,,,6,FRMS_FULL,NRD,,OM_JOB_SERVER,2022-12-24 04:57:04
XXK4818001,2,Submitted,,,,7,PWCE,COM,,jartiaga,2021-01-11 11:31:04
XXL4056004,2,Submitted,,,,0,HSDW1,COM,,patlim,2020-02-07 17:37:25
XXL4056004,2,Submitted,,,,1,OPEW_CQ,COM,,ALDELACRUZ,2023-08-30 11:23:26
XXL4056004,2,Submitted,,,,2,TNP,COM,,p1310753,2023-08-30 17:41:02
XXL4056004,2,Submitted,,,,3,FRMS_HALF,COM,,OM_JOB_SERVER,2023-08-30 17:41:07
XXL4056004,2,Submitted,,,,4,TNM_CQW,RDY,,OM_JOB_SERVER,2023-08-30 11:23:30
XXL4056004,2,Submitted,,,,5,MCONF,RDY,,OPO027101R,2023-10-03 21:24:20
XXL4056004,2,Submitted,,,,6,WBPO,CAN,,OM_JOB_SERVER,2020-09-17 10:43:51
XXL4056004,2,Submitted,,,,7,FRMS_FULL,NRD,,OM_JOB_SERVER,2021-06-06 11:25:53
XXP9970001,2,Submitted,,,,0,CE_CHK,COM,2021-09-27 08:45:00,p1310753,2023-04-24 23:35:28
XXP9970001,2,Submitted,,,,1,WFMAPT,COM,,extQH_APP,2020-05-28 16:17:05
XXP9970001,2,Submitted,,,,2,EBPO,COM,2020-05-22 16:25:23,p1325766,2020-06-03 09:47:51
XXP9970001,2,Submitted,,,,3,WFM,COM,,AsDWFMss,2020-05-28 16:17:32
XXP9970001,2,Submitted,,,,4,OPET_ETHL,COM,,wilbertyew,2021-02-02 11:45:36
XXP9970001,2,Submitted,,,,5,TNP,COM,,p1326036,2020-07-13 10:50:46
XXP9970001,2,Submitted,,,,6,FRMS_HALF,COM,,OM_JOB_SERVER,2020-07-13 10:50:47
XXP9970001,2,Submitted,,,,7,MPP5,COM,,NISA,2020-08-25 10:46:24
XXP9970001,2,Submitted,,,,8,TNM_C_ETHL,COM,,thoppey,2020-08-04 13:15:04
XXP9970001,2,Submitted,,,,9,EBPO,COM,,p1325766,2022-11-25 10:18:59
XXP9970001,2,Submitted,,,,10,TBPO1,EXC,,OM_JOB_SERVER,2023-03-29 17:49:23
XXP9970001,2,Submitted,,,,11,GSPSG_ME,COM,,tanse,2020-08-20 17:37:32
XXP9970001,2,Submitted,,,,12,GSDT83,NRD,,OM_JOB_SERVER,2023-03-29 17:49:23
XXP9970001,2,Submitted,,,,13,IPVM2,NRD,,OM_JOB_SERVER,2023-03-29 17:49:23
XXP9970001,2,Submitted,,,,14,FRMS_FULL,NRD,,OM_JOB_SERVER,2023-03-29 17:49:23
XXP9970001,2,Submitted,,,,15,JOBREVIEW,CAN,,OM_JOB_SERVER,2020-08-28 18:24:45
XXP9970001,2,Submitted,,,,16,WFM,COM,,AsDWFMss,2020-08-30 05:10:27
XXP9970001,2,Submitted,,,,17,WFM,COM,,AsDWFMss,2020-09-30 07:40:27
XXP9970001,2,Submitted,,,,18,HSDE1,COM,,thoppey,2020-11-25 10:55:10
XXP9970001,2,Submitted,,,,19,OPEE_ETHL,COM,,wilbertyew,2020-11-26 17:17:05
XXP9970001,2,Submitted,,,,20,TNP,COM,,bokhary,2020-12-03 10:14:56
XXP9970001,2,Submitted,,,,21,WFM,COM,,AsDWFMss,2020-11-29 08:09:05
XXP9970001,2,Submitted,,,,22,WFM,COM,,AsDWFMss,2020-12-27 05:03:22
XXP9970001,2,Submitted,,,,23,WFM,COM,,AsDWFMss,2021-01-28 07:35:28
XXP9970001,2,Submitted,,,,24,WFM,COM,,AsDWFMss,2021-03-23 14:59:34
XXP9970001,2,Submitted,,,,25,WFM,COM,,AsDWFMss,2021-04-27 17:42:04
XXP9970001,2,Submitted,,,,26,WFM,COM,,AsDWFMss,2021-05-17 16:27:10
XXP9970001,2,Submitted,,,,27,WFM,COM,,AsDWFMss,2021-06-28 11:20:15
XXP9970001,2,Submitted,,,,28,WFM,COM,,AsDWFMss,2021-09-29 15:45:48
XXP9970001,2,Submitted,,,,29,WFM,COM,,AsDWFMss,2021-11-26 18:11:03
XXP9970001,2,Submitted,,,,30,WFM,COM,,AsDWFMss,2021-12-29 10:05:41
XXP9970001,2,Submitted,,,,31,WFM,COM,,AsDWFMss,2022-06-24 02:02:45
XXP9970001,2,Submitted,,,,32,WFM,COM,,AsDWFMss,2022-08-11 19:52:45
XXP9970001,2,Submitted,,,,33,WFM,COM,,AsDWFMss,2022-12-14 17:59:30
XXP9970001,2,Submitted,,,,34,WFM,COM,,AsDWFMss,2023-01-26 20:24:41
XXP9970001,2,Submitted,,,,35,WFM,COM,,AsDWFMss,2023-03-29 17:49:41
XYN7446001,2,Submitted,,,,0,BMS,COM,,mavischen,2020-06-30 18:56:23
XYN7446001,2,Submitted,,,,1,FRMS_FULL,CAN,,OM_JOB_SERVER,2020-02-24 08:50:45
XYN7446001,2,Submitted,,,,2,M-CNP,COM,,p1319119,2020-02-27 10:36:41
XYN7446001,2,Submitted,,,,3,NSI (IP),RDY,,OM_JOB_SERVER,2020-02-24 08:49:54
XYN7446001,2,Submitted,,,,4,FRMS_FULL,NRD,,OM_JOB_SERVER,2020-02-24 08:50:34
XYZ9010016,9,,,,2023-03-30 00:00:01,0,FRMS_HALF,COM,,OM_JOB_SERVER,2023-03-31 20:00:51
XYZ9010016,9,,,,2023-03-30 00:00:01,1,IMPACT,COM,,kkchan,2020-03-09 11:12:45
XYZ9010016,9,,,,2023-03-30 00:00:01,2,EDMS_TD,EXC,,OM_JOB_SERVER,2022-12-02 18:31:04
XYZ9010016,9,,,,2023-03-30 00:00:01,3,TSMNT,NRD,,OM_JOB_SERVER,2022-12-02 18:31:04
XYZ9010016,9,,,,2023-03-30 00:00:01,4,CPE,NRD,,OM_JOB_SERVER,2022-12-02 18:31:04
XYZ9010016,9,,,,2023-03-30 00:00:01,5,FRMS_FULL,NRD,,OM_JOB_SERVER,2022-12-02 18:31:04
XYZ9010016,9,,,,2023-03-30 00:00:01,6,JOBREVIEW,CAN,,OM_JOB_SERVER,2023-01-31 14:36:24
XZH3306001,2,Submitted,,,,0,M-OPS,COM,,p1319119,2020-04-20 16:16:17
XZH3306001,2,Submitted,,,,1,NSI (PS),RDY,,OM_JOB_SERVER,2020-03-20 14:03:34
XZH3306001,2,Submitted,,,,2,BMS,COM,,p1320211,2020-04-14 16:57:02
XZH3306001,2,Submitted,,,,3,FRMS_FULL,COM,,OM_JOB_SERVER,2020-04-14 16:57:03
XZH3306001,2,Submitted,,,,4,JOBREVIEW,CAN,,OM_JOB_SERVER,2020-04-03 09:46:47
XZI3163002,2,Submitted,,,,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-03-23 10:21:34
XZI3163002,2,Submitted,,,,1,HOLD_FTTH,COM,,OMHOLD101R,2020-04-30 18:30:13
XZI3163002,2,Submitted,,,,2,MPP79,COM,,NISA,2020-05-05 18:06:23
XZI3163002,2,Submitted,,,,3,PWCE,COM,,grpa021,2020-06-15 20:18:21
XZI3163002,2,Submitted,,,,4,GSDT82,COM,,jianhui,2023-05-22 17:46:07
XZI3163002,2,Submitted,,,,5,IPVM2,CAN,,OM_JOB_SERVER,2023-05-23 12:38:05
XZI3163002,2,Submitted,,,,6,FRMS_FULL,COM,,OM_JOB_SERVER,2023-06-29 00:01:25
XZI3163002,2,Submitted,,,,7,PWCE,RDY,,OM_JOB_SERVER,2022-12-28 15:24:32
XZI3163003,2,Submitted,,,,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-03-23 10:21:43
XZI3163003,2,Submitted,,,,1,HOLD_FTTH,COM,,OMHOLD101R,2020-04-30 18:30:13
XZI3163003,2,Submitted,,,,2,MPP79,COM,,NISA,2020-05-05 18:06:37
XZI3163003,2,Submitted,,,,3,PWCE,COM,,jartiaga,2020-06-18 15:47:52
XZI3163003,2,Submitted,,,,4,GSDT82,COM,,jianhui,2023-05-22 18:06:11
XZI3163003,2,Submitted,,,,5,IPVM2,CAN,,OM_JOB_SERVER,2023-05-23 12:37:50
XZI3163003,2,Submitted,,,,6,FRMS_FULL,COM,,OM_JOB_SERVER,2023-06-29 00:00:05
XZI3163003,2,Submitted,,,,7,PWCE,RDY,,OM_JOB_SERVER,2022-12-28 15:26:13
XZO5155005,2,Submitted,,,,0,HOLDING_Q,RDY,,OM_JOB_SERVER,2020-03-31 09:27:08
XZO5155005,2,Submitted,,,,1,IMPACT_CSE,NRD,,OM_JOB_SERVER,2020-03-31 09:27:07
XZO5155005,2,Submitted,,,,2,TSMNT,NRD,,OM_JOB_SERVER,2020-03-31 09:27:07
XZO5155005,2,Submitted,,,,3,CPE_CSE,NRD,,OM_JOB_SERVER,2020-03-31 09:27:07
XZO5155005,2,Submitted,,,,4,FRMS_FULL,NRD,,OM_JOB_SERVER,2020-03-31 09:27:07
XZP8487001,2,Submitted,,,,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-04-02 16:53:35
XZP8487001,2,Submitted,,,,1,HOLD_FTTH,COM,,OMHOLD101R,2020-05-11 15:30:14
XZP8487001,2,Submitted,,,,2,MPP2,COM,,abrahim,2020-05-15 13:24:30
XZP8487001,2,Submitted,,,,3,PWCW,CAN,,OM_JOB_SERVER,2020-12-31 11:04:58
XZP8487001,2,Submitted,,,,4,GSDT82,DLY,,OM_JOB_SERVER,2022-12-28 15:38:37
XZP8487001,2,Submitted,,,,5,IPVM3,NRD,,OM_JOB_SERVER,2022-12-28 15:38:38
XZP8487001,2,Submitted,,,,6,FRMS_FULL,NRD,,OM_JOB_SERVER,2022-12-28 15:38:38
XZP8487002,2,Submitted,,,,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-04-02 16:53:35
XZP8487002,2,Submitted,,,,1,HOLD_FTTH,COM,,OMHOLD101R,2020-05-11 15:30:14
XZP8487002,2,Submitted,,,,2,MPP2,COM,,NISA,2020-05-15 13:09:52
XZP8487002,2,Submitted,,,,3,PWCW,CAN,,OM_JOB_SERVER,2020-12-31 11:05:13
XZP8487002,2,Submitted,,,,4,GSDT82,DLY,,OM_JOB_SERVER,2022-12-28 15:40:28
XZP8487002,2,Submitted,,,,5,IPVM4,NRD,,OM_JOB_SERVER,2022-12-28 15:40:29
XZP8487002,2,Submitted,,,,6,FRMS_FULL,NRD,,OM_JOB_SERVER,2022-12-28 15:40:29
XZP8487003,2,Submitted,,,,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-04-02 16:53:35
XZP8487003,2,Submitted,,,,1,HOLD_FTTH,COM,,OMHOLD101R,2020-05-11 15:30:14
XZP8487003,2,Submitted,,,,2,MPP2,COM,,NISA,2020-05-15 13:09:36
XZP8487003,2,Submitted,,,,3,PWCW,CAN,,OM_JOB_SERVER,2020-12-31 11:05:23
XZP8487003,2,Submitted,,,,4,GSDT82,DLY,,OM_JOB_SERVER,2022-12-28 15:42:09
XZP8487003,2,Submitted,,,,5,IPVM3,NRD,,OM_JOB_SERVER,2022-12-28 15:42:09
XZP8487003,2,Submitted,,,,6,FRMS_FULL,NRD,,OM_JOB_SERVER,2022-12-28 15:42:09
XZW8028001,2,Submitted,,,,0,WFM,COM,,AsDWFMss,2020-04-22 11:39:28
XZW8028001,2,Submitted,,,,1,RSE4,COM,,sitihasnor,2023-06-13 16:52:12
XZW8028001,2,Submitted,,,,2,FRMS_HALF,COM,,OM_JOB_SERVER,2023-07-28 16:57:01
XZW8028001,2,Submitted,,,,3,DWFM,COM,2020-10-20 17:17:01,mdfaizal,2023-03-28 18:52:14
XZW8028001,2,Submitted,,,,4,IPTV,COM,2023-08-18 14:17:18,sintklg,2023-08-18 14:20:39
XZW8028001,2,Submitted,,,,5,IPTVSTB,RDY,,OM_JOB_SERVER,2023-07-28 16:55:56
XZW8028001,2,Submitted,,,,6,FRMS_FULL,COM,,AUTO_COM_PROCESS,2023-08-18 17:51:01
XZW8028001,2,Submitted,,,,7,IPTV,COM,2023-08-28 13:09:37,REQ0307847,2023-08-29 01:59:20
YAA7312004,2,Submitted,,,,0,HSDE1,COM,,e_sanimsel,2020-05-11 16:10:44
YAA7312004,2,Submitted,,,,1,OPEE_CQ,COM,,ALDELACRUZ,2023-08-30 11:15:35
YAA7312004,2,Submitted,,,,2,TNP,RDY,,OM_JOB_SERVER,2023-09-08 12:04:06
YAA7312004,2,Submitted,,,,3,FRMS_HALF,NRD,,OM_JOB_SERVER,2020-05-04 12:53:53
YAA7312004,2,Submitted,,,,4,TNM_CQE,COM,,P4002551,2023-10-04 12:23:50
YAA7312004,2,Submitted,,,,5,MCONF,NRD,,OM_JOB_SERVER,2020-09-12 12:46:55
YAA7312004,2,Submitted,,,,6,EBPO,NRD,,OM_JOB_SERVER,2020-09-12 12:46:55
YAA7312004,2,Submitted,,,,7,FRMS_FULL,NRD,,OM_JOB_SERVER,2020-09-12 12:46:55
YAH5649001,2,Submitted,,,,0,ESECBIZOPS,RDY,,OM_JOB_SERVER,2020-05-27 11:24:27
YAH5649002,2,Submitted,,,,0,ESECBIZOPS,RDY,,OM_JOB_SERVER,2020-05-27 11:24:27
YAH5649003,2,Submitted,,,,0,ESECBIZOPS,RDY,,OM_JOB_SERVER,2020-05-27 11:24:27
YAM4967001,4,,2023-02-07 20:50:05,2023-02-08 12:01:13,2020-06-11 08:01:42,0,FRMS_HALF,COM,,OM_JOB_SERVER,2020-06-09 11:59:45
YAM4967001,4,,2023-02-07 20:50:05,2023-02-08 12:01:13,2020-06-11 08:01:42,1,IMPACT,COM,,mkfong,2020-07-20 08:01:46
YAM4967001,4,,2023-02-07 20:50:05,2023-02-08 12:01:13,2020-06-11 08:01:42,2,EDMS_TD,CAN,,OM_JOB_SERVER,2020-07-30 13:33:04
YAM4967001,4,,2023-02-07 20:50:05,2023-02-08 12:01:13,2020-06-11 08:01:42,3,TSMNT,CAN,,OM_JOB_SERVER,2020-08-03 09:44:46
